Phil Jones	2014/2015	7.93
Phil Jones	2013/2014	7.41
Phil Jones	2013/2014	7.26
Phil Jones	2014	6.96
Phil Jones	2012/2013	7.28
Phil Jones	2012/2013	6.82
Phil Jones	2011/2012	7.20
Phil Jones	2011/2012	7.19
Phil Jones	2010/2011	6.98
Ángel Di María	2014/2015	7.40
Ángel Di María	2013/2014	7.46
Ángel Di María	2013/2014	7.61
Ángel Di María	2014	7.89
Ángel Di María	2012/2013	6.92
Ángel Di María	2012/2013	7.12
Ángel Di María	2011/2012	7.40
Ángel Di María	2011/2012	7.26
Ángel Di María	2010/2011	7.49
Marouane Fellaini	2014/2015	7.37
Marouane Fellaini	2013/2014	6.68
Marouane Fellaini	2013/2014	7.75
Marouane Fellaini	2013/2014	7.21
Marouane Fellaini	2014	7.05
Marouane Fellaini	2012/2013	7.59
Marouane Fellaini	2011/2012	7.09
Marouane Fellaini	2010/2011	7.11
Marcos Rojo	2014/2015	7.36
Marcos Rojo	2014	7.55
Daley Blind	2014/2015	7.23
Daley Blind	2014/2015	6.84
Daley Blind	2013/2014	6.91
Daley Blind	2013/2014	6.25
Daley Blind	2013/2014	7.38
Daley Blind	2014	7.37
Daley Blind	2013	6.65
Daley Blind	2012/2013	7.23
Daley Blind	2012/2013	6.47
Ander Herrera	2014/2015	7.21
Ander Herrera	2013/2014	7.41
Ander Herrera	2012/2013	7.11
Ander Herrera	2012/2013	7.15
Ander Herrera	2011/2012	7.05
Ander Herrera	2010/2011	7.13
Wayne Rooney	2014/2015	7.21
Wayne Rooney	2013/2014	7.65
Wayne Rooney	2013/2014	7.62
Wayne Rooney	2014	7.07
Wayne Rooney	2012/2013	7.23
Wayne Rooney	2012/2013	7.28
Wayne Rooney	2012	6.70
Wayne Rooney	2011/2012	7.24
Wayne Rooney	2011/2012	7.73
Wayne Rooney	2010/2011	7.70
Wayne Rooney	2010/2011	7.38
Wayne Rooney	2009/2010	7.42
Chris Smalling	2014/2015	7.20
Chris Smalling	2013/2014	7.08
Chris Smalling	2013/2014	7.17
Chris Smalling	2014	7.47
Chris Smalling	2012/2013	6.39
Chris Smalling	2012/2013	6.85
Chris Smalling	2011/2012	6.58
Chris Smalling	2011/2012	6.84
Chris Smalling	2010/2011	6.89
Chris Smalling	2010/2011	7.01
Rafael	2014/2015	7.20
Rafael	2013/2014	7.60
Rafael	2013/2014	7.08
Rafael	2012/2013	6.98
Rafael	2012/2013	7.36
Rafael	2011/2012	7.39
Rafael	2010/2011	7.29
Rafael	2010/2011	7.24
Rafael	2009/2010	6.99
Antonio Valencia	2014/2015	7.16
Antonio Valencia	2013/2014	7.25
Antonio Valencia	2013/2014	6.94
Antonio Valencia	2014	6.08
Antonio Valencia	2012/2013	6.80
Antonio Valencia	2012/2013	7.00
Antonio Valencia	2011/2012	6.93
Antonio Valencia	2011/2012	7.52
Antonio Valencia	2010/2011	7.02
Antonio Valencia	2010/2011	7.27
Antonio Valencia	2009/2010	7.49
David de Gea	2014/2015	6.99
David de Gea	2013/2014	6.65
David de Gea	2013/2014	6.64
David de Gea	2013	5.93
David de Gea	2012/2013	6.85
David de Gea	2012/2013	6.88
David de Gea	2011/2012	6.06
David de Gea	2011/2012	7.00
David de Gea	2010/2011	6.93
David de Gea	2009/2010	6.76
Jonny Evans	2014/2015	6.92
Jonny Evans	2013/2014	8.19
Jonny Evans	2013/2014	6.96
Jonny Evans	2012/2013	7.18
Jonny Evans	2012/2013	7.25
Jonny Evans	2011/2012	6.86
Jonny Evans	2011/2012	7.18
Jonny Evans	2010/2011	7.08
Jonny Evans	2010/2011	6.91
Jonny Evans	2009/2010	7.19
Juan Mata	2014/2015	6.90
Juan Mata	2013/2014	6.84
Juan Mata	2013/2014	6.89
Juan Mata	2013/2014	7.31
Juan Mata	2014	7.12
Juan Mata	2013	6.37
Juan Mata	2012/2013	7.25
